Question,,Answer
Will there be testing of SPED school personnel?,MOE/102,"Students in our SPED schools, just like their peers in mainstream schools, generally do not need physical assistance. But there are some SPED students who are physically frail and would need help from the staff. For example, students with multiple disabilities may need staff to help move them from a wheelchair to another piece of equipment. We will be looking into testing staff who work closely with the more vulnerable students."
Will students need to be assisted when doing ART tested at SPED schools?,MOE/102,"Students in our SPED schools, just like their peers in mainstream schools, generally do not need physical assistance. But there are some SPED students who are physically frail and would need help from the staff. For example, students with multiple disabilities may need staff to help move them from a wheelchair to another piece of equipment. We will be looking into testing staff who work closely with the more vulnerable students."
Do I need to inform my child's school if my workplace has a confirmed case?,MOE/103,"There is no need to inform the school if your workplace has a confirmed case unless it is you or someone in your immediate household who is a confirmed case.

However, if you or a member of your household are serving your quarantine order at home, your child would need to be placed on Leave of Absence (LOA). Please continue to adopt good personal hygiene practices, and seek medical assistance immediately if you or your child are unwell."
"If my workplace has a confirmed case, need to inform my child's school?",MOE/103,"There is no need to inform the school if your workplace has a confirmed case unless it is you or someone in your immediate household who is a confirmed case.

However, if you or a member of your household are serving your quarantine order at home, your child would need to be placed on Leave of Absence (LOA). Please continue to adopt good personal hygiene practices, and seek medical assistance immediately if you or your child are unwell."
What school facilities will be open for public use under the Dual-Use Scheme (DUS)?,MOE/104,"In line with the progressive resumption of activities in Singapore, SportSG and MOE will reopen selected DUS Chargeable Fields (CFs) and Indoor Sport Halls (ISHs) for public use from 21 August 2021 onwards. Bookings can be made in advance through the ActiveSG app from 17 August 2021.

All other DUS free-to-play (FTP) facilities will remain closed to the public till further notice.

For more information on the DUS facilities that will be open for public use, as well as the booking details, please refer to https://myactivesg.com.

MOE and SportSG will continue to review the DUS arrangements as the COVID-19 situation evolves."
Do MOE's precautionary measures apply to school vendors?,MOE/105,"The precautionary measures schools have implemented to safeguard the well-being of students and staff also apply to school vendors. Temperature taking is conducted daily for vendors, including canteen vendors, cleaners, security guards, KCare and Student Care Centre staff. Individuals who have a temperature of 38oC or higher, or who exhibit flu-like symptoms, will be asked to seek medical assistance immediately. Vendors who operate outside schools, such as school bus vendors and coaches, have also been advised to adopt good personal hygiene practices and seek immediate medical attention should they feel unwell. Vendors are required to inform the school should they or any of their staff go on medical leave/QO/LOA/SHN."
"What are the updates to precautionary measures for MOE Kindergartens (MK), schools and institutes of higher learning, and when do these updates take effect?",MOE/106,"In line with the Ministry of Health's (MOH) updates to the national COVID-19 testing and isolation protocols, MOE will be updating the precautionary measures currently implemented in MKs, primary and secondary schools, Special Education (SPED) schools, junior colleges (JCs)/ Millennia Institute (MI), as well as Institutes of Higher Learning (IHLs).

From 11 October 2021, MOH will issue 7-day Health Risk Warning (HRW) to students in close contact with a confirmed COVID-19 case, in line with Protocol 3 of the 1-2-3 protocols#. Such students can return to school during the 7 days if they continue to be well and have a negative Antigen Rapid Test (ART) result before they leave for school daily.

MOE will no longer issue Leave of Absence (LOA) and Approved Absence (AA) for MOE Kindergartens, primary schools, secondary schools (including SPED schools), JCs / MI. This means students and staff currently under existing Quarantine Orders, LOA or AA can return to school for lessons as long as they are well and have a negative ART test result on the day they go to school. IHLs will similarly take alignment with MOH's revised protocols. This is in line with the national approach to living with COVID-19.

The table below provides an overview of the updated categories of precautionary measures in schools and IHLs, in effect from 11 October 2021:

Category	Arrangements
Confirmed Case	Not allowed to attend school / campus until the end of Isolation Order.
Stay-Home Notice (SHN)	Not allowed to return to school / campus until the end of SHN.
Health Risk Warning (HRW)	Follow national Protocol 3 and allowed to return to school / campus after the first negative ART self-test, and negative ART results daily for the next 7 days, prior to leaving home.
#For more information on the 1-2-3 protocols, please refer to Annex C in MOH's press release on 9 October."
My child has been placed on Quarantine Order (QO)/Leave of Absence (LOA)/Approved Absence (AA) earlier. Under what circumstances can my child return to school?,MOE/107,"Students who have been issued with QO, LOA or AA may return to school from 11 October as long as they are well and with a negative Antigen Rapid Test (ART) result on the day they go to school."
When can my child return to school if he is placed under Quarantine Order (QO)/Leave of Absence (LOA)/Approved Absence (AA) previously?,MOE/107,"Students who have been issued with QO, LOA or AA may return to school from 11 October as long as they are well and with a negative Antigen Rapid Test (ART) result on the day they go to school."
What happens if there is a confirmed case in my child's class?,MOE/108,"For MOE Kindergartens and Primary Schools:

As MOE Kindergarten children and most primary school students are not vaccinated, MOE Kindergartens and primary schools will continue to actively identify close contacts of COVID-19 cases in school and require them to undergo regular testing while waiting for the issuance of a Health Risk Warning (HRW) by MOH. Under this arrangement for Close Contact Testing (CCT):

Identified students should stay at home but may return to school if they are well and have a negative ART result before they leave for school daily.
As this is meant to be a bridging measure while awaiting the issuance of HRW by MOH, students will be placed on CCT for a period of 5 days.
If HRW is not issued during the 5 days, the CCT will be lifted, and the student need not perform further testing.
In line with the move to living with COVID-19, school staff would not be calling parents to inform them of CCT. Schools will use electronic means (e.g. Parents Gateway or email) instead. Schools will conduct deep cleaning of the facilities and will inform you if the class has to be on 1 day of HBL to do so.

For Secondary Schools/Junior Colleges/Millennia Institute:

MOH will contact trace through the TraceTogether App/Token and will issue your child a Health Risk Warning directly if he/she is a close contact. Schools will conduct deep cleaning of the facilities and will inform you if the class has to be on 1 day of HBL to do so."
What is the protocol if there is a confirmed case in school?,MOE/108,"For MOE Kindergartens and Primary Schools:

As MOE Kindergarten children and most primary school students are not vaccinated, MOE Kindergartens and primary schools will continue to actively identify close contacts of COVID-19 cases in school and require them to undergo regular testing while waiting for the issuance of a Health Risk Warning (HRW) by MOH. Under this arrangement for Close Contact Testing (CCT):

Identified students should stay at home but may return to school if they are well and have a negative ART result before they leave for school daily.
As this is meant to be a bridging measure while awaiting the issuance of HRW by MOH, students will be placed on CCT for a period of 5 days.
If HRW is not issued during the 5 days, the CCT will be lifted, and the student need not perform further testing.
In line with the move to living with COVID-19, school staff would not be calling parents to inform them of CCT. Schools will use electronic means (e.g. Parents Gateway or email) instead. Schools will conduct deep cleaning of the facilities and will inform you if the class has to be on 1 day of HBL to do so.

For Secondary Schools/Junior Colleges/Millennia Institute:

MOH will contact trace through the TraceTogether App/Token and will issue your child a Health Risk Warning directly if he/she is a close contact. Schools will conduct deep cleaning of the facilities and will inform you if the class has to be on 1 day of HBL to do so."
What is the protocol if there is a confirmed case in my child's class?,MOE/108,"For MOE Kindergartens and Primary Schools:

As MOE Kindergarten children and most primary school students are not vaccinated, MOE Kindergartens and primary schools will continue to actively identify close contacts of COVID-19 cases in school and require them to undergo regular testing while waiting for the issuance of a Health Risk Warning (HRW) by MOH. Under this arrangement for Close Contact Testing (CCT):

Identified students should stay at home but may return to school if they are well and have a negative ART result before they leave for school daily.
As this is meant to be a bridging measure while awaiting the issuance of HRW by MOH, students will be placed on CCT for a period of 5 days.
If HRW is not issued during the 5 days, the CCT will be lifted, and the student need not perform further testing.
In line with the move to living with COVID-19, school staff would not be calling parents to inform them of CCT. Schools will use electronic means (e.g. Parents Gateway or email) instead. Schools will conduct deep cleaning of the facilities and will inform you if the class has to be on 1 day of HBL to do so.

For Secondary Schools/Junior Colleges/Millennia Institute:

MOH will contact trace through the TraceTogether App/Token and will issue your child a Health Risk Warning directly if he/she is a close contact. Schools will conduct deep cleaning of the facilities and will inform you if the class has to be on 1 day of HBL to do so."
What is a Health Risk Warning (HRW)?,MOE/109,"Previously, contacts of COVID-19 cases were differentiated into various risk levels and there were several measures imposed, such as Quarantine Order (QO), Health Risk Alert (HRA), and Health Risk Warning (HRW). There will now be a single approach – a HRW that lasts seven days from the day of its issuance, that is based on ART self-testing. It will comprise following national Protocol 3:

Upon being notified of the HRW (Day 1), the person should immediately self-isolate, and test himself with an ART on the day of the HRW issuance and upload the Day 1 ART result based on the instruction in the HRW notification.
The person on HRW can continue with normal activities for the day if the test is negative.
For subsequent days, i.e. Day 2 to 7, the person on HRW should test ART negative on same day before going out.
If the person on HRW tests positive on any of these ART tests, he should follow national Protocol 2#.
On Day 7, he must test himself with an ART, and if the test is negative, there is no further need for tests after that.
#For more information on the 1-2-3 protocols, please refer to Annex C in MOH's press release on 9 October."
What should my child do if an ART positive test result is obtained when he/she is well?,MOE/110,"Students who are well and who have been administered the Antigen Rapid Test (ART) and obtained a positive test result, should self-isolate at home for 72 hours before repeating the ART. Students may resume daily activities, including coming to school, if the second ART is negative. If the second ART is also positive, students should continue to self-isolate and repeat the ART daily until it is negative.

Students and their household members should seek medical attention immediately if they are unwell with flu-like symptoms. As part of being socially responsible, students who are unwell should not return to school and should practise good personal hygiene both in school and at home."
"If my child is well but tested positive, what should he do?",MOE/110,"Students who are well and who have been administered the Antigen Rapid Test (ART) and obtained a positive test result, should self-isolate at home for 72 hours before repeating the ART. Students may resume daily activities, including coming to school, if the second ART is negative. If the second ART is also positive, students should continue to self-isolate and repeat the ART daily until it is negative.

Students and their household members should seek medical attention immediately if they are unwell with flu-like symptoms. As part of being socially responsible, students who are unwell should not return to school and should practise good personal hygiene both in school and at home."
"If my child is well but tested positive, can he come to school?",MOE/110,"Students who are well and who have been administered the Antigen Rapid Test (ART) and obtained a positive test result, should self-isolate at home for 72 hours before repeating the ART. Students may resume daily activities, including coming to school, if the second ART is negative. If the second ART is also positive, students should continue to self-isolate and repeat the ART daily until it is negative.

Students and their household members should seek medical attention immediately if they are unwell with flu-like symptoms. As part of being socially responsible, students who are unwell should not return to school and should practise good personal hygiene both in school and at home."
What is Stay Home Notice (SHN)?,MOE/111,"The SHN is a precautionary measure for Singapore residents and long-term pass holders returning to Singapore with travel history within the last 14 days to all countries.

For more information on the prevailing measures with effect from 6 October 2021, 2359 hours, please refer to MOH’s website."
How are schools supporting students on Stay-Home Notice (SHN) with their studies?,MOE/112,"Schools will plan and implement a HBL programme that best suits the lessons and the students.

For example, schools may inform their students about specific pieces of homework or readings from their textbooks. Schools may also ask students to go through online materials in the Singapore Student Learning Space or the Learning Management Systems. Teachers will also be able to monitor the students' learning progress through these systems and submission of assignments."
"If my child is on SHN, what will happen to his studies?",MOE/112,"Schools will plan and implement a HBL programme that best suits the lessons and the students.

For example, schools may inform their students about specific pieces of homework or readings from their textbooks. Schools may also ask students to go through online materials in the Singapore Student Learning Space or the Learning Management Systems. Teachers will also be able to monitor the students' learning progress through these systems and submission of assignments."
"If my child is on SHN, will there be plans for him to do HBL?",MOE/112,"Schools will plan and implement a HBL programme that best suits the lessons and the students.

For example, schools may inform their students about specific pieces of homework or readings from their textbooks. Schools may also ask students to go through online materials in the Singapore Student Learning Space or the Learning Management Systems. Teachers will also be able to monitor the students' learning progress through these systems and submission of assignments."
What if students or staff do not inform the school about adult household members who are unwell or are on Health Risk Warning (HRW) / Stay-Home Notice (SHN)? What should the student or staff do when the household member is confirmed to be a COVID-19 case?,MOE/113,"In living with COVID-19, the emphasis is on social responsibility. Students and staff with household members who are unwell, HRW or SHN do not need to alert the school. They are free to continue to go to school. To keep everyone safe, the unwell household member should see a doctor, maintain good hygiene and self-isolate until the PCR result is obtained. The household member on SHN should maintain strict isolation, while the person on HRW should maintain strict hygiene practices.

If at any point the student or staff have a household member who is confirmed to be a COVID-19 case, they should expect to be issued with a HRW, and they should exercise social responsibility by following the testing and isolation protocol for HRW pending the issuance of the HRW. They should also keep the school informed."
"If my child has a household member is confirmed to be a COVID-19 case, can my child go to school?",MOE/113,"In living with COVID-19, the emphasis is on social responsibility. Students and staff with household members who are unwell, HRW or SHN do not need to alert the school. They are free to continue to go to school. To keep everyone safe, the unwell household member should see a doctor, maintain good hygiene and self-isolate until the PCR result is obtained. The household member on SHN should maintain strict isolation, while the person on HRW should maintain strict hygiene practices.

If at any point the student or staff have a household member who is confirmed to be a COVID-19 case, they should expect to be issued with a HRW, and they should exercise social responsibility by following the testing and isolation protocol for HRW pending the issuance of the HRW. They should also keep the school informed."
What will happen if a school student /staff does not comply with the Stay-Home Notice (SHN)?,MOE/114,"It is important that all persons issued with SHN comply strictly with its requirements, in order to limit the risk from potential imported cases and to safeguard our community.

Students found to have breached their SHN will be subject to disciplinary actions from their schools and institutions.

In addition to school sanctions, they may also be prosecuted under Section 21A of the Infectious Diseases Act. Permanent Residents (PRs), Dependent Pass (DP) or Student Pass (STP) holders may also have Re-Entry Permits, DP or STP revoked or shortened."
What happens if a school student /staff breach their Stay-Home Notice (SHN)?,MOE/114,"It is important that all persons issued with SHN comply strictly with its requirements, in order to limit the risk from potential imported cases and to safeguard our community.

Students found to have breached their SHN will be subject to disciplinary actions from their schools and institutions.

In addition to school sanctions, they may also be prosecuted under Section 21A of the Infectious Diseases Act. Permanent Residents (PRs), Dependent Pass (DP) or Student Pass (STP) holders may also have Re-Entry Permits, DP or STP revoked or shortened."
Will IHL students still be able to participate in internships/work attachments?,MOE/115,"Students can continue to participate in internships/work attachments, and should adhere to all prevailing Safe Management Measures at the organisations they are attached to."
Will there still be internships and work attachments for university students?,MOE/115,"Students can continue to participate in internships/work attachments, and should adhere to all prevailing Safe Management Measures at the organisations they are attached to."
Will there still be internships and work attachments for poly students?,MOE/115,"Students can continue to participate in internships/work attachments, and should adhere to all prevailing Safe Management Measures at the organisations they are attached to."
Why were some graduation ceremonies converted to virtual ceremonies?,MOE/116,"The IHLs closely monitor the community COVID-19 situation and the prevailing national posture and guidelines in deciding whether to proceed with in-person graduation ceremonies, which are typically large-scale events. Taking these considerations into account, including the need to ensure the safety and well-being of students and staff, some IHLs had converted their graduation ceremonies to virtual ceremonies while providing graduands with a meaningful experience.

The IHLs will continue to closely monitor the national situation in deciding whether to resume in-person graduation ceremonies, and should the situation permit, to do so safely and with all necessary safe management measures in place."
Will my child's graduation ceremony be held online or in-person?,MOE/116,"The IHLs closely monitor the community COVID-19 situation and the prevailing national posture and guidelines in deciding whether to proceed with in-person graduation ceremonies, which are typically large-scale events. Taking these considerations into account, including the need to ensure the safety and well-being of students and staff, some IHLs had converted their graduation ceremonies to virtual ceremonies while providing graduands with a meaningful experience.

The IHLs will continue to closely monitor the national situation in deciding whether to resume in-person graduation ceremonies, and should the situation permit, to do so safely and with all necessary safe management measures in place."
How will ITE and the polytechnics ensure that the online EAE selection is fair and rigorous?,MOE/117,"Institutions have made appropriate adjustments to their assessment rubrics and criteria, to ensure that the online selection format can continue to be carried out seamlessly this year.

They will also continue to document the EAE selection process, including recording interviews (where appropriate), and the evaluations made by the selection panels.

The assessments will continue to be carried out objectively and rigorously, in a fair and inclusive manner."
"With the new variant of COVID-19 surfacing in Singapore, how will IHLs ensure the safety of their students?",MOE/118,"IHLs are committed to ensuring that their campuses remain safe for students and staff. IHLs have put in place a suite of safe management measures, guided by MOH guidelines. In addition, the IHLs have Leave of Absence (LOA) measures in place to ensure that students/staff who may potentially be infected stay away from campus.

Students and staff should continue to monitor their health, and seek medical attention immediately, if unwell. They should observe good personal hygiene, and adhere to SMMs, including practising safe distancing and wearing their masks when leaving home."
How does university ensure the safety of their students?,MOE/118,"IHLs are committed to ensuring that their campuses remain safe for students and staff. IHLs have put in place a suite of safe management measures, guided by MOH guidelines. In addition, the IHLs have Leave of Absence (LOA) measures in place to ensure that students/staff who may potentially be infected stay away from campus.

Students and staff should continue to monitor their health, and seek medical attention immediately, if unwell. They should observe good personal hygiene, and adhere to SMMs, including practising safe distancing and wearing their masks when leaving home."
How does polytechnics ensure the safety of their students?,MOE/118,"IHLs are committed to ensuring that their campuses remain safe for students and staff. IHLs have put in place a suite of safe management measures, guided by MOH guidelines. In addition, the IHLs have Leave of Absence (LOA) measures in place to ensure that students/staff who may potentially be infected stay away from campus.

Students and staff should continue to monitor their health, and seek medical attention immediately, if unwell. They should observe good personal hygiene, and adhere to SMMs, including practising safe distancing and wearing their masks when leaving home."
Can CCAs and activities/programmes continue in IHLs during the pre-transition phase?,MOE/119,"Indoor and outdoor mask-on activities at IHLs, such as small-group consultation, group/project work as well as in-person CCAs, may resume in groups of five from 10 August 2021, regardless of the individuals’ vaccination status.

Outdoor mask-off activities of up to five persons are similarly permitted, regardless of the individuals’ vaccination status. In line with national guidelines, indoor mask-off activities are allowed in groups of up to five persons, as long as all individuals in the group are vaccinated."
When will CCAs and activies resume for IHLs?,MOE/119,"Indoor and outdoor mask-on activities at IHLs, such as small-group consultation, group/project work as well as in-person CCAs, may resume in groups of five from 10 August 2021, regardless of the individuals’ vaccination status.

Outdoor mask-off activities of up to five persons are similarly permitted, regardless of the individuals’ vaccination status. In line with national guidelines, indoor mask-off activities are allowed in groups of up to five persons, as long as all individuals in the group are vaccinated."
When will CCAs and activies resume for universities and polytechnics?,MOE/119,"Indoor and outdoor mask-on activities at IHLs, such as small-group consultation, group/project work as well as in-person CCAs, may resume in groups of five from 10 August 2021, regardless of the individuals’ vaccination status.

Outdoor mask-off activities of up to five persons are similarly permitted, regardless of the individuals’ vaccination status. In line with national guidelines, indoor mask-off activities are allowed in groups of up to five persons, as long as all individuals in the group are vaccinated."
How will IHLs safeguard the well-being of staff and students on campus?,MOE/120,"IHLs continue to strictly enforce safe management measures to ensure safe management on campus. The measures include the following:

Screening

All students, staff, vendors and visitors will be required to check in and out using TraceTogether-only SafeEntry when entering or leaving the campus.
Students and staff who are unwell, or who have household members on Home Quarantine Order/Stay Home Notice or have household members (aged 6 and above) with flu-like symptoms such as fever and cough, are required to stay away from campus.
Hygiene

Frequent cleaning of high-touch surfaces and disinfection of the premises.
Mask Wearing

All students and staff will be required to wear masks at all times. Students and staff should wear masks with good filtration capability such as surgical masks or reusable masks of equivalent effectiveness that are made of at least two layers of fabric.
From 10 August, all mask-on activities such as small-group consultation, group/project work as well as in-person CCAs can resume in groups of up to 5 persons, regardless of the individuals’ vaccination status.
Outdoor mask-off activities of up to 5 persons will be allowed, regardless of vaccination status.
Indoor mask-off activities will be allowed in groups of up to 5 persons, as long as all individuals in the group are vaccinated.
Safe Distancing

All in-person lessons will be conducted with SMMs in place. These SMMs include:
Safe distancing of at least 1m between individuals on campus.
In-person classes will continue to be capped at no more than 50 persons.
Lecture size will be capped at 250 persons if all individuals are fully vaccinated. Otherwise, lecture size will be capped at 50 persons.
Mask-on group activities to be capped at a maximum of 5 persons for both indoor and outdoor activities.
Fixed seating will be implemented in teaching venues, where practicable.
Start and end timings for lessons will be staggered where possible to avoid inter-mingling."
How will universities and polytechnics safeguard the well-being of staff and students on campus?,MOE/120,"IHLs continue to strictly enforce safe management measures to ensure safe management on campus. The measures include the following:

Screening

All students, staff, vendors and visitors will be required to check in and out using TraceTogether-only SafeEntry when entering or leaving the campus.
Students and staff who are unwell, or who have household members on Home Quarantine Order/Stay Home Notice or have household members (aged 6 and above) with flu-like symptoms such as fever and cough, are required to stay away from campus.
Hygiene

Frequent cleaning of high-touch surfaces and disinfection of the premises.
Mask Wearing

All students and staff will be required to wear masks at all times. Students and staff should wear masks with good filtration capability such as surgical masks or reusable masks of equivalent effectiveness that are made of at least two layers of fabric.
From 10 August, all mask-on activities such as small-group consultation, group/project work as well as in-person CCAs can resume in groups of up to 5 persons, regardless of the individuals’ vaccination status.
Outdoor mask-off activities of up to 5 persons will be allowed, regardless of vaccination status.
Indoor mask-off activities will be allowed in groups of up to 5 persons, as long as all individuals in the group are vaccinated.
Safe Distancing

All in-person lessons will be conducted with SMMs in place. These SMMs include:
Safe distancing of at least 1m between individuals on campus.
In-person classes will continue to be capped at no more than 50 persons.
Lecture size will be capped at 250 persons if all individuals are fully vaccinated. Otherwise, lecture size will be capped at 50 persons.
Mask-on group activities to be capped at a maximum of 5 persons for both indoor and outdoor activities.
Fixed seating will be implemented in teaching venues, where practicable.
Start and end timings for lessons will be staggered where possible to avoid inter-mingling."
How about international students who are currently in their home countries?,MOE/121,"International students who are currently in their home countries will continue with full home-based learning. IHLs will remain in close contact with them, and continue to offer them the necessary academic support, to mitigate impact on their learning."
What happens to internation students who are currently in their home coutnries?,MOE/121,"International students who are currently in their home countries will continue with full home-based learning. IHLs will remain in close contact with them, and continue to offer them the necessary academic support, to mitigate impact on their learning."
Are IHL students and staff required to wear masks when they return to campus?,MOE/122,"
Yes, in line with the national policy, all staff and students will generally be required to wear masks at all times while on campus.

Notwithstanding this, the use of face shields instead of masks is allowed for the following groups or in the following settings:

Persons who have health conditions that may result in breathing or medical difficulties when a mask is worn for a prolonged period of time; and
Persons who are speaking to a group in a classroom or lecture-style setting, where they largely remain at the spot where they are speaking, and are able to maintain a safe distance from other persons. This would include teachers and lecturers in schools and IHLs respectively, when they are in their classrooms and lecture halls."
Are university and polytechnic students and staff required to wear masks when they return to campus?,MOE/122,"
Yes, in line with the national policy, all staff and students will generally be required to wear masks at all times while on campus.

Notwithstanding this, the use of face shields instead of masks is allowed for the following groups or in the following settings:

Persons who have health conditions that may result in breathing or medical difficulties when a mask is worn for a prolonged period of time; and
Persons who are speaking to a group in a classroom or lecture-style setting, where they largely remain at the spot where they are speaking, and are able to maintain a safe distance from other persons. This would include teachers and lecturers in schools and IHLs respectively, when they are in their classrooms and lecture halls."
Can official overseas placements (e.g. internship or exchange programmes) resume for the IHLs?,MOE/123,"Given the rapidly evolving global COVID-19 situation, MOE and the Institutes of Higher Learning (IHLs) had previously decided to suspend all official overseas placements, including all internships and exchange programmes, until end-July. For students who are affected by the suspension of overseas programmes, the IHLs will work with each affected student to provide alternative learning arrangements so that they can graduate on time, to support them at no additional cost.

The IHLs are exploring the possibility of resuming overseas exchange programmes, in line with MOH’s travel advisory. MOE will continue to monitor the global situation and work closely with the IHLs to take appropriate measures to ensure the safety and well-being of our students."
Will university resume their overseas exchange programmes?,MOE/123,"Given the rapidly evolving global COVID-19 situation, MOE and the Institutes of Higher Learning (IHLs) had previously decided to suspend all official overseas placements, including all internships and exchange programmes, until end-July. For students who are affected by the suspension of overseas programmes, the IHLs will work with each affected student to provide alternative learning arrangements so that they can graduate on time, to support them at no additional cost.

The IHLs are exploring the possibility of resuming overseas exchange programmes, in line with MOH’s travel advisory. MOE will continue to monitor the global situation and work closely with the IHLs to take appropriate measures to ensure the safety and well-being of our students."
Will schools resume their overseas exchange programmes?,MOE/123,"Given the rapidly evolving global COVID-19 situation, MOE and the Institutes of Higher Learning (IHLs) had previously decided to suspend all official overseas placements, including all internships and exchange programmes, until end-July. For students who are affected by the suspension of overseas programmes, the IHLs will work with each affected student to provide alternative learning arrangements so that they can graduate on time, to support them at no additional cost.

The IHLs are exploring the possibility of resuming overseas exchange programmes, in line with MOH’s travel advisory. MOE will continue to monitor the global situation and work closely with the IHLs to take appropriate measures to ensure the safety and well-being of our students."
What requirements are PEIs subject to during this period?,MOE/124,"PEIs are required to abide by all national SMMs, including guidelines for higher-risk classes and activities on campus such as arts and culture classes, performances and sports and physical exercise activities.

PEIs are strongly encouraged to take reference from the plans and safe management measures for ECDA-registered preschools, MOE schools and IHLs, if they wish to adopt measures that are tighter than national SMMs.

PEIs with clarifications should approach SkillsFuture Singapore at CPE_Registration@ssg.gov.sg."
What are the safe management measures that should be implemented for tuition and enrichment centres that are allowed to continue on-site instruction?,MOE/125,"In line with the national posture, all tuition and enrichment centres must ensure that work-from-home is the default arrangement for employees who are able to do so. During this period, the 10-day snap work-from-home regime will be suspended. MOE strongly encourages that all tuition and enrichment classes be conducted online.

For centres that are allowed to continue on-site instruction, to reduce risk of transmission of COVID-19, they are required to abide by the nationwide safe management measures for workplaces. These include the use of SafeEntry to support contact tracing for all employees, wearing of masks at all times, no social gatherings at the workplace and regular cleaning of common facilities and high-touch areas. Employers should continue to implement flexible working hours and stagger the start times of employees who need to return to the workplace. Employees who are unable to work from home are strongly encouraged to self-test weekly via an Antigen Rapid Test (ART), to keep the workplace safe. Employees who are able to work from home but need to return to the workplace for adhoc reasons may do so after testing negative via ART before returning onsite. Details are available at the GoBusiness website (https://covid.gobusiness.gov.sg/safemanagement/general).

As part of Singapore's national efforts to mitigate the risk of transmission of COVID-19, enterprises in the Private Tuition and Enrichment Sector are required to comply with the FET 7-day regime, as well as the VoRT regime for onsite employees. The latest details on the two regimes are on: https://go.gov.sg/tuition-enrichment-fet.

As a default, the following SMMs apply to all centres conducting on-site instruction (whether indoors or outdoors and regardless of activity), except where there are additional SMMs that apply for higher-risk activities such as sports or physical activity, dance, singing, the playing of instruments that require the intentional expulsion of air (e.g. wind/brass instruments), voice training, and speech and drama classes (please refer here for details on additional SMMs for high movement activities or activities which carry a higher risk of virus transmission through droplet spread, and here for classes that involve mask-off activities).

Safe distancing. Safe distancing measures for centres which are allowed to continue on-premise instruction are:
Students: Centres must ensure safe distancing between students by putting up appropriate floor demarcations and/or physical barriers, e.g. using safety tape. There must also be strict separation between students in different classrooms at all times, with no intermingling.
As a default, centres must ensure that all students maintain safe distancing of at least 1m at all times, with strictly no physical interaction between students.
If it is not possible to apply 1m safe distancing between students and some interaction is unavoidable, centres may instead organise students into groups of no more than 2 students, with strictly no physical interaction or intermingling between different groups. Centres must strictly maintain a minimum of 1m spacing between groups, although MOE advises 2m spacing between groups as a best practice.
Tutors/instructors: Tutors/instructors are advised to minimise contact with students, If some interaction is unavoidable, contact with students should be transient, and they should remain at the front of the class as much as is practicable.
Capacity: No single room within a centre should hold more than 50 persons, including tutors/instructors, even as the above measures are adopted.
Centres are also reminded that per MOM's guidelines for workplaces, should there be staff deployed on site, centres must ensure that there is be no cross-deployment across worksites. No staff should work at more than one worksite to reduce the risk of infection caused by inter-mingling. More information on prevailing workplace SMMs can be found on the MOM website (https://www.mom.gov.sg/covid-19/requirements-for-safe-management-measures).
Health declarations. Centres should not permit students who are placed on Leave of Absence or Approved Absence by their schools, or students and staff who are on Health Risk Warning, Health Risk Alert, Stay Home Notice, or Home Quarantine Order to enter the centre. We also advise centres to watch out for staff and students with fever or respiratory symptoms, such as sneezing, breathlessness, runny nose, loss of sense of smell, cough, or sore throat. Staff and students with the above symptoms or who are unwell should be advised to leave the centre and see a doctor immediately, and should not be allowed to attend lessons. As a best practice, centres should also check if a family member living in the same household is unwell. If so, the child should not attend lessons in person.
Disinfection of surfaces. All surfaces in classrooms must be thoroughly disinfected between classes. Sharing of all equipment (e.g. props, microphones) should be avoided as far as possible. If this cannot be done, the equipment should be thoroughly cleaned and/or disinfected before being handled or used by others. However, please note that sharing of wind/brass instruments or parts thereof (e.g. mouthpieces, reeds) is not allowed.
Masks must be worn as a default at all times, except for persons allowed to use face shields instead of masks (e.g. persons with health conditions resulting in breathing/medical difficulties when a mask is worn for a prolonged period). Instructors are expected to wear a surgical mask or reusable masks of equivalent effectiveness at all times.
Class timings. Centres must allocate at least 15 minutes between classes. This is to allow adequate time to disinfect classroom surfaces, and to ensure strict separation of individuals from different classes. Centres should also work out attendance and dismissal arrangements that help avoid congestion of individuals in or outside the centre.
Ventilation. All premises should abide by the latest guidance on improving ventilation and indoor air quality in buildings amid the COVID-19 situation, available on the NEA website.
Centres should also abide by other sector-specific Safe Management Measures available on the GoBusiness website, and to prevailing circulars issued by the Government."
"Some tuition and enrichment classes involve high movement activities (e.g. sports, dance), or activities which carry a higher risk of virus transmission through droplet spread (e.g. singing, wind/brass instruments). What additional safe management measures should be implemented?",MOE/126,"Additional safe management measures may apply for these classes, subject to different class size and group size limits, depending on the activity, setting, and vaccination status of students.

For all sport or physical activity classes, as well as outdoor dance classes, please refer to the advisory issued by Sport Singapore.

For indoor dance classes, singing, the playing of instruments that require the intentional expulsion of air (e.g. wind/brass instruments), voice training, and speech and drama classes, please refer to the advisory issued by the National Arts Council.

For more details on the implementation of FET, please refer to the notification issued by National Arts Council, and the notification issued by ActiveSG."
